N,mean,variance,95% interv lower,95% interv upper,time
10,2.26350668675424,0.0990932893008574,1.64652792678241,2.88048544672607,0.0028929
100,2.4172126008556,0.00627096046789374,2.26200423637863,2.57242096533257,0.0028599
1000,2.40334753740184,0.00058542187579342,2.35592524276531,2.45076983203837,0.1548836
10000,2.42876182405592,6.55827797458375e-05,2.41288940937698,2.44463423873487,8.5309002
100000,2.43136492567297,6.4616617103837e-06,2.42638273665872,2.43634711468722,674.6079658
