N,mean,variance,95% interv lower,95% interv upper
100,0.556401416652963,0.00475155996381931,0.421298041657848,0.691504791648079
1000,0.595294077156038,0.000513744120720834,0.550869682009646,0.63971847230243
10000,0.577949292869662,4.7997254311654e-05,0.564370652439022,0.591527933300302
100000,0.579027891318667,4.83022343408237e-06,0.574720327689795,0.583335454947539
1000000,0.581622295376502,4.90616955898145e-07,0.580249457136644,0.58299513361636
